date,DN_450,DN_500,DN_550,DN_570,DN_600,DN_650,DN_610,DN_680,DN_730,DN_760,DN_810,DN_860,Plot
2022-05-18,0.162896234,0.195361262,0.399906727,0.322609261,0.253923278,0.15693904,0.205237084,0.184150037,1.359202714,1.702906469,1.755170347,1.673036307,Sant Antonio 1
2022-05-19,0.144044071,0.159284965,0.343943104,0.280471938,0.216558725,0.130998703,0.17338995,0.150715704,1.246024173,1.57697771,1.662253971,1.561902846,Sant Antonio 1
2022-05-20,0.139754357,0.147925301,0.317418678,0.260216453,0.203481131,0.120136187,0.161763219,0.133737332,1.183206107,1.563865822,1.64826656,1.553354118,Sant Antonio 1
2022-05-21,0.131739366,0.135067659,0.290165559,0.237891064,0.18853531,0.111219196,0.148872713,0.126945983,1.127014419,1.509506119,1.624537916,1.521170673,Sant Antonio 1
2022-05-22,0.150027093,0.151420582,0.287542264,0.236856112,0.222319093,0.125,0.181478111,0.151499321,0.95764419,1.320476399,1.464182236,1.333350096,Sant Antonio 1
2022-05-23,0.132981125,0.137938783,0.271656756,0.228280797,0.185421597,0.112191958,0.146092407,0.124595131,1.055979644,1.464707168,1.618543311,1.521673539,Sant Antonio 1
2022-05-24,0.186150998,0.150172267,0.297452489,0.237743214,0.269958899,0.133268482,0.231270852,0.146014001,0.740033927,1.038570804,1.192177041,1.138992256,Sant Antonio 1
2022-05-25,0.151494627,0.115843611,0.265972951,0.227097995,0.200056047,0.084954604,0.165049034,0.117803782,0.890850297,1.285784528,1.414227196,1.343910289,Sant Antonio 1
2022-05-26,0.259979229,0.210216208,0.409962691,0.339612041,0.371932993,0.185797665,0.324790213,0.211315432,1.190627651,1.72066215,1.966480168,1.906114855,Sant Antonio 1
2022-05-27,0.208728439,0.208468567,0.348242392,0.318099828,0.269803213,0.184500649,0.224446466,0.210793021,1.095340331,1.688019012,1.888924968,1.952755708,Sant Antonio 1
2022-05-28,0.190779373,0.121336196,0.238574094,0.187326276,0.276030639,0.125324254,0.258062885,0.118326194,0.416666667,0.550699301,0.69087821,0.624057126,Sant Antonio 1
2022-05-29,0.18445769,0.126953613,0.227352221,0.181855816,0.249719766,0.127918288,0.240370033,0.123811514,0.51500212,0.777152535,0.945399141,0.926279795,Sant Antonio 1
2022-05-30,0.127901201,0.083512258,0.184796549,0.138535691,0.18246357,0.07960441,0.160752199,0.078100512,0.315150551,0.452086976,0.529773204,0.497586242,Sant Antonio 1
2022-05-31,0.191343809,0.166899685,0.2691792,0.222366787,0.243336655,0.133916991,0.205489839,0.152021732,0.73552799,1.133358829,1.30207813,1.267474605,Sant Antonio 1
2022-06-01,0.124006593,0.124456983,0.19616416,0.173945828,0.144787645,0.10059987,0.112981498,0.110490022,0.77091285,1.232927229,1.388625237,1.399099869,Sant Antonio 1
2022-06-02,0.131852253,0.125705298,0.227643698,0.192648885,0.16424835,0.103761349,0.129410575,0.109445199,0.882103478,1.375109266,1.553351983,1.485718596,Sant Antonio 1
2022-06-03,0.164363768,0.105981924,0.219336598,0.168844994,0.232750031,0.111705577,0.20953392,0.09899697,0.381679389,0.553704108,0.662903387,0.639645982,Sant Antonio 1
2022-06-04,0.139754357,0.127203276,0.195435467,0.16662724,0.176236144,0.105869001,0.147356182,0.122505485,0.576494911,0.918651661,1.066040563,1.044956251,Sant Antonio 1
2022-06-05,0.128691412,0.121461028,0.219045121,0.187474126,0.15568564,0.098411154,0.120058639,0.107616759,0.868320611,1.393684441,1.574582875,1.506587549,Sant Antonio 1
2022-06-06,0.128465637,0.122085185,0.191354786,0.158939027,0.155218583,0.105706874,0.127388535,0.114408108,0.573314249,0.898164336,1.042311919,0.996429649,Sant Antonio 1
2022-06-07,0.162218911,0.132071703,0.20971785,0.170175646,0.206906215,0.108300908,0.181478111,0.119371017,0.462256149,0.714597902,0.853481866,0.808609072,Sant Antonio 1
2022-06-08,0.245473223,0.15922255,0.358444095,0.26738719,0.363993025,0.176070039,0.311015064,0.150062689,0.867127863,1.170236014,1.239009891,1.108191693,Sant Antonio 1
2022-06-09,0.067506547,0.042692365,0.09604174,0.070524573,0.100728609,0.047341115,0.08593671,0.03878905,0.240537532,0.35661604,0.379283645,0.356783667,Sant Antonio 1
2022-06-10,0.148390228,0.156039347,0.305540982,0.245209652,0.178493586,0.112191958,0.135476696,0.152021732,1.199639525,1.759178322,1.675616945,1.587297596,Sant Antonio 1
2022-06-11,0.268558656,0.206221601,0.460971202,0.360680703,0.388357828,0.195606355,0.320114245,0.212099049,1.634860051,2.202933785,2.260965131,2.023659861,Sant Antonio 1
2022-06-12,0.150535085,0.125892545,0.275227352,0.217857354,0.177948686,0.097843709,0.137877869,0.124464528,1.118002545,1.638576267,1.601308822,1.48999296,Sant Antonio 1
2022-06-13,0.251964237,0.179944575,0.380596362,0.28438997,0.390770955,0.183122568,0.326180366,0.165473827,0.90264525,1.203971809,1.267359377,1.118877602,Sant Antonio 1
2022-06-14,0.118305789,0.114470465,0.149819284,0.130551777,0.118788143,0.088035019,0.096552421,0.102131439,0.5139419,0.848721591,0.973873514,0.982852258,Sant Antonio 1
2022-06-15,0.12553057,0.123957657,0.175615017,0.147850257,0.142763731,0.081549935,0.115761804,0.10996761,0.511026293,0.833151224,0.951393746,0.945137283,Sant Antonio 1
2022-06-16,0.175313826,0.138188446,0.249941705,0.208025312,0.215624611,0.102788586,0.177939541,0.130602863,0.798876166,1.283052885,1.482415826,1.43920346,Sant Antonio 1
2022-06-17,0.168089045,0.143306536,0.258248805,0.216896327,0.202391331,0.097600519,0.163279749,0.131647686,0.926367684,1.494755245,1.720951144,1.664739012,Sant Antonio 1
2022-06-18,0.124740359,0.112098667,0.205782908,0.175350405,0.150236642,0.078307393,0.117025579,0.107877965,0.824586514,1.323208042,1.526126486,1.443729257,Sant Antonio 1
2022-06-19,0.132642464,0.117965746,0.219628075,0.188361228,0.158955038,0.079928664,0.12359721,0.110228816,0.860368957,1.382211538,1.582825457,1.508599014,Sant Antonio 1
2022-06-20,0.131852253,0.118090578,0.215255917,0.188065527,0.156308382,0.084954604,0.120816904,0.110751228,0.870971162,1.390406469,1.606554101,1.517902042,Sant Antonio 1
2022-06-21,0.147092026,0.125705298,0.231287163,0.198710746,0.182152198,0.095817121,0.145334142,0.123289102,0.847911366,1.375655594,1.576581077,1.520416373,Sant Antonio 1
2022-06-22,0.245303892,0.165526539,0.329223505,0.257850849,0.351849545,0.159857328,0.309877667,0.167694076,0.630566158,0.940777972,1.128734139,1.107060243,Sant Antonio 1
2022-06-23,0.167863271,0.093623608,0.229684039,0.170767047,0.241624113,0.087548638,0.213830755,0.092989238,0.391221374,0.601234703,0.705365171,0.70929297,Sant Antonio 1
2022-06-24,0.134109997,0.116342937,0.218899382,0.18969188,0.15817661,0.082036316,0.122080679,0.109445199,0.880513147,1.435751748,1.637026676,1.573217339,Sant Antonio 1
2022-06-25,0.165944189,0.128576422,0.244840853,0.205216157,0.204415245,0.100518807,0.16681832,0.126423571,0.844465649,1.33823208,1.548106704,1.469878306,Sant Antonio 1
2022-06-26,0.140657455,0.140934738,0.226769267,0.196197291,0.172344003,0.096465629,0.135476696,0.143924355,0.84605598,1.381392045,1.57383355,1.551594086,Sant Antonio 1
2022-06-27,0.157590536,0.142183053,0.24833858,0.212017269,0.203481131,0.114461738,0.164038014,0.140006269,0.849501696,1.363363199,1.583075232,1.545811123,Sant Antonio 1
2022-06-28,0.131287817,0.076147201,0.165559053,0.126855521,0.18495454,0.079928664,0.16530179,0.074182426,0.290765479,0.426682692,0.529273654,0.525495323,Sant Antonio 1
2022-06-29,0.082068997,0.04818495,0.111490031,0.084126796,0.111003861,0.045881971,0.096299666,0.045711002,0.235634012,0.40892701,0.466330303,0.47923162,Sant Antonio 1
2022-06-30,0.125191908,0.10648125,0.204034045,0.174611154,0.143697845,0.072146563,0.109695683,0.100564204,0.831212892,1.30736451,1.525876711,1.443477824,Sant Antonio 1
2022-07-01,0.158380746,0.123957657,0.217879212,0.168697144,0.198810562,0.100194553,0.16884036,0.118848605,0.442907125,0.708861451,0.804276151,0.809866238,Sant Antonio 1
2022-07-02,0.232773413,0.198357218,0.336801912,0.285203146,0.307167767,0.17769131,0.257557375,0.202695643,0.954463528,1.474814248,1.739684284,1.693653827,Sant Antonio 1
2022-07-03,0.125079021,0.111349678,0.203742567,0.173871903,0.140584133,0.074902724,0.106662623,0.104221085,0.831212892,1.31173514,1.520881207,1.461078145,Sant Antonio 1
2022-07-04,0.129030073,0.116218106,0.209863589,0.179194512,0.149769585,0.083981842,0.115256294,0.108922788,0.819815522,1.312281469,1.495404136,1.450266519,Sant Antonio 1
2022-07-05,0.123272826,0.075772707,0.170805643,0.124933467,0.16923029,0.067931258,0.146345162,0.0684359,0.309054283,0.458369755,0.548256569,0.533289752,Sant Antonio 1
